[21:05:52] Порт №84: Open | Деталі: On
--- ГЕНЕРАЦІЯ ВЕЛИКОГО ЗВІТУ ---
Запис #1: Перевірка цілісності даних порту... OK
Запис #2: Перевірка цілісності даних порту... OK
Запис #3: Перевірка цілісності даних порту... OK
Запис #4: Перевірка цілісності даних порту... OK
Запис #5: Перевірка цілісності даних порту... OK
Запис #6: Перевірка цілісності даних порту... OK
Запис #7: Перевірка цілісності даних порту... OK
Запис #8: Перевірка цілісності даних порту... OK
Запис #9: Перевірка цілісності даних порту... OK
Запис #10: Перевірка цілісності даних порту... OK
Запис #11: Перевірка цілісності даних порту... OK
Запис #12: Перевірка цілісності даних порту... OK
Запис #13: Перевірка цілісності даних порту... OK
Запис #14: Перевірка цілісності даних порту... OK
Запис #15: Перевірка цілісності даних порту... OK
Запис #16: Перевірка цілісності даних порту... OK
Запис #17: Перевірка цілісності даних порту... OK
Запис #18: Перевірка цілісності даних порту... OK
Запис #19: Перевірка цілісності даних порту... OK
Запис #20: Перевірка цілісності даних порту... OK
Запис #21: Перевірка цілісності даних порту... OK
Запис #22: Перевірка цілісності даних порту... OK
Запис #23: Перевірка цілісності даних порту... OK
Запис #24: Перевірка цілісності даних порту... OK
Запис #25: Перевірка цілісності даних порту... OK
Запис #26: Перевірка цілісності даних порту... OK
Запис #27: Перевірка цілісності даних порту... OK
Запис #28: Перевірка цілісності даних порту... OK
Запис #29: Перевірка цілісності даних порту... OK
Запис #30: Перевірка цілісності даних порту... OK
Запис #31: Перевірка цілісності даних порту... OK
Запис #32: Перевірка цілісності даних порту... OK
Запис #33: Перевірка цілісності даних порту... OK
Запис #34: Перевірка цілісності даних порту... OK
Запис #35: Перевірка цілісності даних порту... OK
Запис #36: Перевірка цілісності даних порту... OK
Запис #37: Перевірка цілісності даних порту... OK
Запис #38: Перевірка цілісності даних порту... OK
Запис #39: Перевірка цілісності даних порту... OK
Запис #40: Перевірка цілісності даних порту... OK
Запис #41: Перевірка цілісності даних порту... OK
Запис #42: Перевірка цілісності даних порту... OK
Запис #43: Перевірка цілісності даних порту... OK
Запис #44: Перевірка цілісності даних порту... OK
Запис #45: Перевірка цілісності даних порту... OK
Запис #46: Перевірка цілісності даних порту... OK
Запис #47: Перевірка цілісності даних порту... OK
Запис #48: Перевірка цілісності даних порту... OK
Запис #49: Перевірка цілісності даних порту... OK
Запис #50: Перевірка цілісності даних порту... OK
Запис #51: Перевірка цілісності даних порту... OK
Запис #52: Перевірка цілісності даних порту... OK
Запис #53: Перевірка цілісності даних порту... OK
Запис #54: Перевірка цілісності даних порту... OK
Запис #55: Перевірка цілісності даних порту... OK
Запис #56: Перевірка цілісності даних порту... OK
Запис #57: Перевірка цілісності даних порту... OK
Запис #58: Перевірка цілісності даних порту... OK
Запис #59: Перевірка цілісності даних порту... OK
